dataset,error_message
103001,Loading /autofs/space/transcend/MEG/AttenVis/103001/visit_20190805/103001_AttenVis_run01_behaviour.mat
103001,No missing values in RT
103001,Loading /autofs/space/transcend/MEG/AttenVis/103001/visit_20190805/103001_AttenVis_run02_behaviour.mat
103001,No missing values in RT
103001,Loading /autofs/space/transcend/MEG/AttenVis/103001/visit_20190805/103001_AttenVis_run03_behaviour.mat
103001,No missing values in RT
103101,Loading /autofs/space/transcend/MEG/AttenVis/103101/visit_20191115/103101_AttenVis_run01_behaviour.mat
103101,No missing values in RT
103101,Loading /autofs/space/transcend/MEG/AttenVis/103101/visit_20191115/103101_AttenVis_run02_behaviour.mat
103101,No missing values in RT
103101,Loading /autofs/space/transcend/MEG/AttenVis/103101/visit_20191115/103101_AttenVis_run03_behaviour.mat
103101,No missing values in RT
103301,Loading /autofs/space/transcend/MEG/AttenVis/103301/visit_20190625/103301_AttenVis_run01_behaviour.mat
103301,No missing values in RT
103301,Loading /autofs/space/transcend/MEG/AttenVis/103301/visit_20190625/103301_AttenVis_run02_behaviour.mat
103301,No missing values in RT
103301,Loading /autofs/space/transcend/MEG/AttenVis/103301/visit_20190625/103301_AttenVis_run03_behaviour.mat
103301,No missing values in RT
103301,Loading /autofs/space/transcend/MEG/AttenVis/103301/visit_20190625/103301_AttenVis_run04_behaviour.mat
103301,No missing values in RT
103301,Loading /autofs/space/transcend/MEG/AttenVis/103301/visit_20190625/103301_AttenVis_run05_behaviour.mat
103301,No missing values in RT
103301,Loading /autofs/space/transcend/MEG/AttenVis/103301/visit_20190625/103301_AttenVis_run06_behaviour.mat
103301,No missing values in RT
103501,Loading /autofs/space/transcend/MEG/AttenVis/103501/visit_20191212/103501_AttenVis_run01_behaviour.mat
103501,No missing values in RT
103501,Loading /autofs/space/transcend/MEG/AttenVis/103501/visit_20191212/103501_AttenVis_run02_behaviour.mat
103501,No missing values in RT
103501,Loading /autofs/space/transcend/MEG/AttenVis/103501/visit_20191212/103501_AttenVis_run03_behaviour.mat
103501,No missing values in RT
104001,Loading /autofs/space/transcend/MEG/AttenVis/104001/visit_20200210/104001_AttenVis_run01_behaviour.mat
104001,No missing values in RT
104001,Loading /autofs/space/transcend/MEG/AttenVis/104001/visit_20200210/104001_AttenVis_run02_behaviour.mat
104001,No missing values in RT
104001,Loading /autofs/space/transcend/MEG/AttenVis/104001/visit_20200210/104001_AttenVis_run03_behaviour.mat
104001,No missing values in RT
104101,Loading /autofs/space/transcend/MEG/AttenVis/104101/visit_20200309/104101_AttenVis_run01_behaviour.mat
104101,No missing values in RT
104101,Loading /autofs/space/transcend/MEG/AttenVis/104101/visit_20200309/104101_AttenVis_run02_behaviour.mat
104101,No missing values in RT
104101,Loading /autofs/space/transcend/MEG/AttenVis/104101/visit_20200309/104101_AttenVis_run03_behaviour.mat
104101,No missing values in RT
104901,Loading /autofs/space/transcend/MEG/AttenVis/104901/visit_20210605/104901_AttenVis_run01_behaviour.mat
104901,No missing values in RT
104901,Loading /autofs/space/transcend/MEG/AttenVis/104901/visit_20210605/104901_AttenVis_run02_behaviour.mat
104901,No missing values in RT
104901,Loading /autofs/space/transcend/MEG/AttenVis/104901/visit_20210605/104901_AttenVis_run03_behaviour.mat
104901,No missing values in RT
105401,Loading /autofs/space/transcend/MEG/AttenVis/105401/visit_20210819/105401_AttenVis_run01_behaviour.mat
105401,No missing values in RT
105401,Loading /autofs/space/transcend/MEG/AttenVis/105401/visit_20210819/105401_AttenVis_run02_behaviour.mat
105401,No missing values in RT
105401,Loading /autofs/space/transcend/MEG/AttenVis/105401/visit_20210819/105401_AttenVis_run03_behaviour.mat
105401,No missing values in RT
106201,Loading /autofs/space/transcend/MEG/AttenVis/106201/visit_20210614/106201_AttenVis_run01_behaviour.mat
106201,No missing values in RT
106201,Loading /autofs/space/transcend/MEG/AttenVis/106201/visit_20210614/106201_AttenVis_run02_behaviour.mat
106201,No missing values in RT
106201,Loading /autofs/space/transcend/MEG/AttenVis/106201/visit_20210614/106201_AttenVis_run03_behaviour.mat
106201,No missing values in RT
106501,Loading /autofs/space/transcend/MEG/AttenVis/106501/visit_20210429/106501_AttenVis_run01_behaviour.mat
106501,No missing values in RT
106501,Loading /autofs/space/transcend/MEG/AttenVis/106501/visit_20210429/106501_AttenVis_run02_behaviour.mat
106501,No missing values in RT
106501,Loading /autofs/space/transcend/MEG/AttenVis/106501/visit_20210429/106501_AttenVis_run03_behaviour.mat
106501,No missing values in RT
108201,Loading /autofs/space/transcend/MEG/AttenVis/108201/visit_20211201/108201_AttenVis_run01_behaviour.mat
108201,No missing values in RT
108201,Loading /autofs/space/transcend/MEG/AttenVis/108201/visit_20211201/108201_AttenVis_run02_behaviour.mat
108201,No missing values in RT
108201,Loading /autofs/space/transcend/MEG/AttenVis/108201/visit_20211201/108201_AttenVis_run03_behaviour.mat
108201,No missing values in RT
109101,Loading /autofs/space/transcend/MEG/AttenVis/109101/visit_20220808/109101_AttenVis_run01_behaviour.mat
109101,No missing values in RT
109101,Loading /autofs/space/transcend/MEG/AttenVis/109101/visit_20220808/109101_AttenVis_run02_behaviour.mat
109101,No missing values in RT
109101,Loading /autofs/space/transcend/MEG/AttenVis/109101/visit_20220808/109101_AttenVis_run03_behaviour.mat
109101,No missing values in RT
